index,context,target,output,neg1,neg2,neg3
326,iin my previous job i was a recruiter for time warner.,i enjoy what i do for a living.,Now I work for myself.,I was looking for a job for the time Warner Warner company.,I'm currently a weather forecaster for the weather bureau,I had a lot of fun with my job.
328,traveling and making friends is something i find delightful.,i like going to rock concerts.,Me too! What do you like to do with your friends,"I travel with my androidphone, and my iphone, because they're really expensive.",I like to travel with my friends.,I like to eat my apple phone at my friends house.
329,i am planning to move to a new state soon.,i enjoy hiking.,I am planning to move to a new state soon and I'm excited because I'll be moving near the Rocky Mountains which is perfect for me because I enjoy hiking.,I have a good talent for composing music.,"I like to play music, especially in new states.",My music career is in a good place. I am a musician who moved to a new city about a year ago.
330,i enjoy staying in for meals.,i never hope to stop working no matter how old i become.,i work as a chef in a restuarant,I used to stay home with my kids when I was in college.,I like to take my kids to the park and play games with them.,I have to leave to work.
331,i enjoy staying in for meals.,i never hope to stop working no matter how old i become.,I have to go to cafes because I work so much.,I love going to Safeway and eating healthy at work.,I like to stay in my office and cook when I work.,I love my job more than my life.
332,i enjoy staying in for meals.,i never hope to stop working no matter how old i become.,I'll do anything to save money.,I like to spend as much time as I can in the park.,I like to try to look my best to feed my family,I don't go out much since I don't get to enjoy meals.
333,i enjoy skiing.,i love to travel.,"I live in the tropics, though, so I have to fly.",I also enjoy to listen to music.,I like to listen to music while skiing.,I like to listen to music when I ski.
334,i enjoy skiing.,i love to travel.,I like to go on ski trips too.  I like to travel anywhere though.,I like to spend time at the slopes.,I like to play basketball too.,I like skiing and would like to be a professional athlete in the same way that I love to play basketball.
335,i am good at yarn crafts.,i like consuming salty rod shaped snacks.,I like to snack while crafting,I like patterns for yarns.,"I like using yarn for patterns, especially when it doesn't smell of anything.",I like to knit with my teal green and teal shades on my toes.
336,i am good at yarn crafts.,i like consuming salty rod shaped snacks.,They keep my hands busy so I don't eat as often.,"when I am not making things I am reading, reading is very important.",I like to knit and I care about the environment.,"I find the job of yarn crafts fun, too, which makes me an environmentalist and I try to help the environment as much as I can during my job as a teacher."
337,i am good at yarn crafts.,i like consuming salty rod shaped snacks.,When I'm home on weekends I have nothing to do and snack because I'm bored. I should take up crafts so I stop eating so much.,I like collecting yarns.,I like to watch yarns.,I like to knit and I like to spend many hours knitting.
338,me and them hang out and spectate sports.,i want to create cartoons for a major studio.,When I'm not with friends I am pursuing my life goals.,My sister and I are really into sports.,I used to play with my brother when I was younger.,my brother and I play sports together.
339,me and them hang out and spectate sports.,i want to create cartoons for a major studio.,i like doing something more creative.,We usually watch the game while loosening up on a joint.,Well I like to sit down on my couch and relax when I watch sports.,sports such as Basketball.  I like to watch sports while relaxed.
340,me and them hang out and spectate sports.,i want to create cartoons for a major studio.,I like to read comics about sports.,We play together.,We like to watch football together when we are visiting my owner.,I buy my dog treats from the dogs shelter after we get the dogs.
341,i am just a kid.,i hope i get to go skydiving while i still can.,I'm a teenager.  One day I want to go skydiving.,I like to play sports my favorite sport is soccer but it means i'm always tired because i'm always watching sports.,"I like basketball and playing sports, but I also like to play sports to get fresh air.",I hope to get old and see the world play football one day.
342,i am just a kid.,i hope i get to go skydiving while i still can.,I had many dreams when I was a kid.,I have only 1 parent and two siblings.,"I don't know so much about my past, but I like to stay busy.",I got my first apartment because I needed a new boyfriend.
343,i am just a kid.,i hope i get to go skydiving while i still can.,"I am just a kid, but I really like dangerous, thrill seeker-type sports—you know, the kind of stuff you gotta do before you get too old. In fact, I hope to get to go skydiving while I still can.",I didn't like music when I was a kid.,I am a kid because I'm too young to appreciate music.,"I like to be outside with my friends, but i don't like to listen to music."
344,i am good at beach sports.,i enjoy the fashion and beauty industries.,I love the fashion that people wear at the beach.,I spent the summer in Florida.,I like to play on my boat.,"I like to spend time walking on the beach with my friends, and that made me interested in sports."
346,i am good at beach sports.,i enjoy the fashion and beauty industries.,The fashion and beauty industries have come a long way when it comes to designing beachware for sports.,The only person I've ever been with has been on the beach with me.,I love to play sports at the beach.,I like to go to the beach only with my family
347,i am good at beach sports.,i enjoy the fashion and beauty industries.,I've done great on my beach volleyball team during the summer which helps me observe new trends coming out in both the fashion and beauty industries.,I love to run.  I always see professional athletes running in my neighborhood.,My favorite beach sports are running through the waves.,I enjoy running to work.  I like to run near the beach which I can easily walk to from my office in a short distance.
348,i am good at beach sports.,i enjoy the fashion and beauty industries.,I love watching professional beach volleyball and my girlfriend always picks up great bathing suit ideas from the players!,I usually like to play beach sports near friends,I have a friend who plays beach volleyball with me,I am doing sports in nature.
349,everyone seems to comment on my height.,i intentionally say things that are not funny.,I like telling bad jokes to distract people from my awkward height.,I have to try to fit into my chair and it's hard.,I also work at Safeway.,"You are short, we can't all be taller."
350,everyone seems to comment on my height.,i intentionally say things that are not funny.,Well if you are taller then those comments might be more good than bad at least.,"I'm a tall person so I always love to read, especially about tall people.",I like to read as well,I like reading.
351,everyone seems to comment on my height.,i intentionally say things that are not funny.,"I always make fun fo my best friend for being too short in height. He thinks I'm joking, but I'm not.",I like being tall.  I wish I wanted to become a tall person.,My height is good about showing that I'm fit and fit like to look good.,I get a lot of comments on my height or color.
352,i am fresh into the post graduate world.,i love canines.,I am enjoying university but I miss my dogs at home.,My first post graduate job was in the field that creates clean and renewable natural gas which is needed for energy subsidies in the US.,Since the second semester in my college I am preparing for the post graduate world and I care about those environmental regulations.,"The more I'm learning about the world, the more I think about what it means to protect it from harmful or harmful things."
353,i am fresh into the post graduate world.,i love canines.,I am fresh into the post graduate world because I just graduated with my veterinary degree. I have always wanted to be an animal doctor because I love canines.,But I have five cats because I have been clean for four years.,I have a cat I can bring to stay with me to college when I am back.,"I like to hang with my cats, so I have five cats, and I like to take them on walks together."
354,i am fresh into the post graduate world.,i love canines.,That sounds interesting.  I have always wanted to do post graduate in animals.,But I love children.,I am a bit young to have children.,I am also fresh into the post graduate world.
355,i like to watch sports.,i am a fitness junkie.,I like to watch sports whenever I can and it always makes me want to work out. I'm really a fitness junkie in every way.,I like to reach things in the high places.,"i don't have many hobbies to do.  I would love to do more, but this season is making me too busy doing things to do.",I think the best sports involve watching people reach things in high places.
356,i like to watch sports.,i am a fitness junkie.,I also like to do sports.,I like to watch sports while eating or while on a boat.,Some sports include swim wear!,"As a guy who hates wearing swimwear, I also dislike wearing swimwear, as it makes me very sweaty."
357,i like to watch sports.,i am a fitness junkie.,I like to get involved in sports to be fit.,I always love watching sports.,I'm a dog owner too and I enjoy watching sports while playing with my pet.,I started with a dog.  We adopted a dog as a pet.
358,my hair is colored purple.,i have my own salon.,"If you ever need to have it touched up, let me know because I'm a hair stylist.",I dyed my hair when I moved to the Midwest.,My hair is actually grey.,I have to pay off college debt.
359,my hair is colored purple.,i have my own salon.,I like to change my hair color often.,I like to paint mine in different colors.,I used to play basketball.  I think it suits my style.,It's so you can see the basketball hoops from up there.
360,my hair is colored purple.,i have my own salon.,"Cool, did you do it at home?",I like to dye my hair purple with my kids.,"My hair color is really pretty, how about yours?","My hair is a vibrant purple, which means it's more prone to being washed into a dark brown color if not washed enough in the shower."
361,i eat dominos every day.,education is important to me.,I don't have time to cook since I'm always studying.,I eat dominos every day.  I like to eat dominos when I'm listening to music.,What if you don't eat dominos every day but all you can eat pizza during work?,I make my own dominos.
362,i eat dominos every day.,education is important to me.,I eat dominos every day as I study.,"I don't want to seem too starlike, but you do your best job making pizza.","I make pizza for myself, and then make it myself after I eat it.",Dominoes has never been good in my opinion.
363,i eat dominos every day.,education is important to me.,"Studies have shown that the less educated people are, the worse their diets are, and I want to eat healthier.",I only eat dominos when my friends ask me to reach things high up in the sky.,"I don't like dominos.  I prefer pizza, with some meat and cheese.",dominos are my favorite meal.
365,i like to go out to eat.,i am often late for class.,I don't like waking up early.,My parents live near the beach which is why they let me go to restaurants.,I always like to get a bite of my parents meal.  I like to get the biggest portions of my parents meals on the go since I like to eat with my friends family.,I prefer to cook.
366,i left my work to see the world.,i make software.,"I left my work to see the world, but I was compelled to return to my job because I love the work too much so once again I make software.",I like to visit her when I'm not working.,I want to stay home and do my best to bring her back.,"Oh, cool! I also love to travel and see foreign countries."
367,i left my work to see the world.,i make software.,I do freelance work now and am a digital nomad.,I had to leave my car at work so I could go to the world.,I drove from Europe to see the world.,I saw the world in my car.
368,i left my work to see the world.,i make software.,Software work pays so well that I'm hoping to retire early so I can travel around the world before I'm too old.,I like to spend time with my friends in different parts of the world.,I'm a stay at home mom.,"I'm not sure about my friends, but everyone of my friends are working in the world."
369,i enjoy nature.,i am in a lot of debt.,But I also spend alot on things I don't need while in nature.,"I love nature, i love hiking in the woods.",I like to hike and play outdoors with my mom.,I like to watch old movies.
370,i enjoy nature.,i am in a lot of debt.,i enjoy nature and I am in debt.,My favorite thing to do when I'm not working out.,I really enjoy nature as well.,I enjoyed playing in the forest all day.  It reminds me of the time I spent growing up in a library.
371,i enjoy nature.,i am in a lot of debt.,I might wind up losing my house and living in a tent.,We have lots of dogs.,There's so much to do in nature. I love it.,I like to have my pet dog around and play with the dogs at the park
372,when i was little i would dress like a superhero.,my mother and father would allow my sibling and i to come during our childhood.,My siblings and I used to do that when we were younger.,I like makeup a lot and can't wait to start buying makeup.,I got my makeup done when I was a teenager as a superhero,I like makeup and wanted to look like a superhero but when I was little I was obsessed with makeup.
373,when i was little i would dress like a superhero.,my mother and father would allow my sibling and i to come during our childhood.,I loved superhero conventions.,My parents always thought I was weird.,I am an American superhero.,I did a lot of costume shopping for my own costume.
374,when i was little i would dress like a superhero.,my mother and father would allow my sibling and i to come during our childhood.,My sibling and I always dressed like batman and superman when we were little.,i am a superhero and I live in a complex.,i liked to play with super heroes,I often dressed as a superhero but it wasn't a superhero fit.
375,i am not a fan of italian.,i teach kids how to be creative and express themselves.,"I’m not a huge fan of Italian art, but it’s very helpful when it comes to teaching kids how to be creative and expressive.",I've been practicing my Italian a lot recently.,I like to learn about different cultures.,I am not a huge fan of italian food.
376,i am not a fan of italian.,i teach kids how to be creative and express themselves.,I am a Spanish teacher for middle schoolers.,I prefer to speak Italian which is the language most commonly spoken in Italy,There is a lot of cultures though. I prefer French.,"Me too, but my parents ride horses"
377,i am not a fan of italian.,i teach kids how to be creative and express themselves.,"That surprises me—I think it's such a beautiful language, I'm teaching my children to speak it. I think it's important for them to express their creativity and explore all aspects of life.",It is hard to learn a language of such distance.,I like flying a kite as a hobby,I am a fan of Italian history and culture.
379,i enjoy playing music.,going to restaurants is one of my favorite things to do.,i like listening to music at my favorite restaurant.,I got to play music when I was recovering from a hospitalization.,I enjoy music too.,I prefer music over medicine.
380,i enjoy playing music.,going to restaurants is one of my favorite things to do.,I like hearing bands at restaurants.  I really like going out to eat.,music is life.,"Music is my job too, I have too much free time now, I wish I could play music much more.",when I'm not doing things.
382,my family lost our agricultural home some weeks ago so i am searching for employment.,i have a house in the midwest.,Whenever I visit back home in the midwest I go searching for temporary employment while I'm living there.,I like to play sports and get fresh air.,I am currently looking for work but I hate my job and want to get rid of it.  I would like to get back into football.,I play sports and go on walks to get fresh air.
383,my family lost our agricultural home some weeks ago so i am searching for employment.,i have a house in the midwest.,We bought a new home to replace it but it is nothing like the old one.,I miss being able to stay outside and walk around.,I am looking for a job that pays better with nights.,I am also looking for a job.
384,i have a freeloader at home.,my babies love catnip and cat grass.,My freeloader happens to enjoy playing with my cats.,I like to exercise on my own.,I can't be bothered to spend money on a new car.  My money comes from working.,I workout at home because I have nothing to do.
385,i have a freeloader at home.,my babies love catnip and cat grass.,"I love my babies, but sometimes I think of them as freeloaders. When will they be old enough to get a job?",They are all freeloaders because they have to pay more for those cars.,What does this mean? Is he working for you?,I was given a car to drive to work. I need to get my next job.
386,i have a freeloader at home.,my babies love catnip and cat grass.,"my cats are my freeloaders, but I love them.",My freeloaders go to different safeway.,I would love to travel to work and stay there.,My freeloader works for Safeway
387,jailhouse rock is such a great song.,i need to study harder and get better grades.,i listen to it so much it affects my studying.,I always sing when people listen to my music from prison.,"I used to love to listen to that song when I was younger, but I don't ever listen to it now since I'm in jail.","There are some songs that are very big for sure, but some of my biggest friends are also very small and that's why I like big guys."
388,jailhouse rock is such a great song.,i need to study harder and get better grades.,I need to stop listening to songs like jailhouse rock and study harder.,My favorite song is Jailhouse rock and I love listening to it when jail is closed.,It's the best song playing in my prison yard.,"I like it too, I've been wanting to try to become a musician."
389,jailhouse rock is such a great song.,i need to study harder and get better grades.,I spend too much time listening to music.,I love listening to rock.,I think there's a lot of great songs which come from jail so there's nothing wrong with it.,Music has been taking me places.  I like to play music during my jailhouse rock sessions
390,i like to work with my hands.,i have three sons and two daughters.,I like teaching my kids woodwork.,I like learning and working with my hands.,I learned a lot about hand eye coordination by studying how to create hand motions with my hands.,"I like learning about various techniques for writing, like how to write with your hands and how to write with pen."
391,i like to work with my hands.,i have three sons and two daughters.,"I used to have a lot of crafty hobbies, but I don't have as much time for them now because my kids keep me busy.",Me too! My hands love playing with my dogs.,I like to hold my dogs while I work with my hands.,I can't take my hands off the keyboard because they aren't the best.
394,i love to use oils to create vivid landscapes.,there is nothing like my mother.,My mother likes arts and wishes she knows how to do oil paintings.,I love when I use oils to create new landscapes,So do many other people. I love to use oils on my drawings because they are so vivid.,"I just like to use oil products for photos, to create them."
395,i love to use oils to create vivid landscapes.,there is nothing like my mother.,i used to take classes from my mom before she passed away.,"I like to relax and enjoy nature, with oils I wish I could create more vivid landscapes.",I use them to create landscapes that I would like to use on my daughter.,I love to create the texture of my own plants and oils on them when I am not working.
396,i love italian cooking.,i assign edgy labels that allow others find good qualities.,I really am into Japanese food. What do you do for work though?,"I love that food, it is so good because it has a Mediterranean feel.",I do too.  I love italian food.,"me to, i love cooking."
397,i love italian cooking.,i assign edgy labels that allow others find good qualities.,There are some Italian spices that I love.  The quality of them are so good.,I have really bad cooking.,What do you like doing?,My favorite type of Italian is Spanish.
398,i love italian cooking.,i assign edgy labels that allow others find good qualities.,I organize recipes on the internet.,"I like Italian dish but I prefer Italian food when it is organized, because I can learn Italian and make my own dish.","I like Italian food, so I cook in Italian restaurants",I like Italian food.
399,i want to volunteer more.,i flip burgers at mickey dees for a living.,"I wish I had more time to volunteer, but I have to make money. That's why I flip burgers at Mickey Dees for a living.",I also think I will have to look into my parents more.,I don't have the time to volunteer because I am too busy in school which is why I only have time for internet activities within my own school.,I do not know my parents either.
400,i want to volunteer more.,i flip burgers at mickey dees for a living.,I wish I had time but I am always working,I am interested in making cartoons for a large animation studio.,I love helping people.,I volunteer at an animation studio.
401,i want to volunteer more.,i flip burgers at mickey dees for a living.,"But my job at mickey dees still gives me the weekends off, and that's when I volunteer at the homeless shelter.",I want to volunteer my time so that I can get paid.,I volunteer to help people in need,"Me too, the commercials keep me up."
402,i love to watch the voice.,i have glasses.,I wear glasses when I watch the voice.,"My parents let me stay with them, but I'm too young.",I can't stand my mom.  I love watching my parents.,I love to watch my mom and dad.
404,sometimes i think i should get out and exercise more.,i work 60 hours a week.,It is hard to find the time.,"I do this all the time, though.","I would have if I had the money for it, I would live a successful lifestyle",I think people should get out and exercise more.
405,i have a lot of siblings.,i am a ginger.,My siblings and I all have the same type of hair.,I don't have siblings.  I decorate my family for Christmas.,I usually celebrate Christmas with them instead of my family.,My siblings always make me look at different decorations.
406,i have a lot of siblings.,i am a ginger.,You'll be able to pick me out in a family picture. All my siblings have brown hair.,I often cook family dinners with our siblings.,I do like cooking a lot since many of my sibling's friends are cooks.,When i had much room for activities one of my siblings would share salmon with me.
407,i have a lot of siblings.,i am a ginger.,"Cool, I have siblings and we all have freckles.  I guess because of my family genes I'm a ginger.",I have two siblings with different pets.,I want to get a family with a lot of siblings.,The siblings who lived in their youth are now in their early thirties.
411,i enjoy skateboarding and going skiing.,i exercise a lot.,I like doing cardio in general.,I enjoy going to the parks and skating at the park.,I love animals.,I like to go skiing but I dislike animals and can not skate them.
412,i enjoy skateboarding and going skiing.,i exercise a lot.,Skateboarding and skiing is fun.  I like to do a lot of physical things.,I spend too much time in the office.,Skateboarding is my favorite hobby.,I like to see my relatives and have fun on my skateboard
413,i enjoy skateboarding and going skiing.,i exercise a lot.,Skateboarding and skiing are my favorite forms of exercise. I like to do them often.,I'm not opposed to working at a mill.,I like playing on my skateboard when I get back on my job.,My mom taught me to skate.
414,i am a happy person.,i sing many songs.,I am also a happy person and I like to sing when I am happy which is why I love karoke.,"I like having to drive home from work, but I can only drive home from work when I'm happy.",I like to ride my bike when I am happy and have a good commute.,I am happy because I commute long hours and spend a lot of money on transportation.
415,i am a happy person.,i sing many songs.,I like to sing when I am happy.,I'm happy when I'm outside.,"I think it's interesting how people act when they are sad. I feel like I need to make friends that way, especially when I get depressed about things like this.","i like to do good things, like go to the gym and stuff."
416,i am a happy person.,i sing many songs.,I love to sing songs on the radio when I'm in a good mood.,I try to stay active and enjoy the outdoors.,I am happy to be a happy person.,I like going to the beach every day.
417,i am still in love with my ex boyfriend.,people say i have a cute laugh.,I was in love years ago but he left me. I get hit on a lot because of my cute laugh though.,She left me for a different man.,We still love each other.  I just like to enjoy the cold outside while I watch him.,Do you have any particular reason to have been with him?
419,i am still in love with my ex boyfriend.,people say i have a cute laugh.,My ex always liked the way I laughed.,"Me too, just wanted to get a good workout in today.",I don't know whether I want to do so much exercise.,After I broke things up I lost contact with my ex husband.
420,the light midday sky is what i like to pick from the box of crayons.,i work bagging food.,I wish I could make art for a living.,I love to draw in bright colors and write on crayon.,I like to paint the sky red with crayon.,The sky is too blue to see much of anything.
421,the light midday sky is what i like to pick from the box of crayons.,i work bagging food.,I like to color with midday sky crayon when not working.,I make my own crayons for school,I have to leave for work at a car dealership.,I like picking up my crayon too.
422,the light midday sky is what i like to pick from the box of crayons.,i work bagging food.,"It is nice to dream sometimes, isn't it? I do enjoy envisioning about future plans/options.",The light at night has a lot of colors that I like so I am all about being colorful.,I draw my own with crayons when I'm not working on homework so I can stay busy!,I like to do the same with my cat.
423,i complete school this year.,i wish to join education.,I got my masters in teaching.,I'm not a college student yet.,I did a lot of schooling last year to support my family.,My family have four children.
424,i complete school this year.,i wish to join education.,"Completing higher levels of education is a reliable way to earn more money and live a happier life, so I'm determined to do so.",I finished my last semester at University in a few weeks.,The reason I wanted to finish college was to earn money to pay off my student loans.,I finish school for my masters.
425,i complete school this year.,i wish to join education.,I am glad I finished college.  Now I have the degree to become a teacher.,I am graduating college next year in California.,I don't have a lot of time to study.,i am going to college in California.
426,i work as a lifeguard.,my dad works offshore.,I have always been around the water.,i prefer to let the bugs bother me.,"I don't like eating vegetables from the ground, but I work as a lifeguard so I eat them when I can.",But I also like orange vegetables so much that I eat them at work despite my job requiring red in my blood.
427,i work as a lifeguard.,my dad works offshore.,"My dad is a contractor, but on his off days he comes home and takes us all to the beaches where he used to surf and volunteer as a lifeguard.",I work as a lifeguard and I love building homes.,I like to take my home life on the beach,"I wanted to be a lifeguard a long time before I became a mother, and I always wanted to be a house builder."
429,my sibling believes they are a buccaneer.,i have a family member just starting school.,I know a lot of people -- usually kids though -- that probably have some similar ideas of themselves.,My sister believes that my brother is a buccaneer.,My sibling believes their sibling is a buccaneer because their sibling stopped school too.,I told my friends that my brother thought they were a buccaneers before he got drafted to college.
430,my sibling believes they are a buccaneer.,i have a family member just starting school.,My siblings feel they are somehow buccaneers.  One of them is just starting school.,My brother thinks that they are also buccaneers,My sibling was the only one in our family with three children.,"My siblings think that kids are animals and they would treat them with a better care if they were a buccaneer,"
431,my sibling believes they are a buccaneer.,i have a family member just starting school.,I have a little sister that pretends like that.  She just started school.,They are not into drawing but they do like cartoons.,My sister thinks they are pirates.,There is a Pixar movie based on an animated TV show.
432,i love my dog.,i am still in school.,I wish I could spend more time with him.,I have a dog.,"When I get home from work, I usually take care of it too.",I like to spend time with my dog when I am not working.
433,i love my dog.,i am still in school.,I am a vet.,"I love my dog because he has a bunch of kids, and they all love him.",i love my dog too but i dont want to raise it to be the same as my kids.,I'm a parent when my kids are old enough to have pets
434,i love my dog.,i am still in school.,When I was in college I took in one of my classmate's dog but it ran away.,I keep my dog in my dresser.,"It's my favorite holiday to decorate for, and I usually have a dog at Christmas.",I keep her as my Christmas present for christmas.
435,i dislike hatred.,i like the best stuff.,"Me too, I like to surround myself in happiness, and things that will comfort me and others.",Most of the hate directed toward me comes from people who just want to get rid of me.,"I like people with hatred, so I started going by the name Jesus.",I always find it difficult to understand how people can hate the things I like to love.
437,i dislike hatred.,i like the best stuff.,"I do too, but sometimes I have fed off or feed off of it when things go wrong.",I only like to play sports when I'm at the beach or on hikes.,Sports is the only thing I like to do.  So I like to watch the action.,What's your favorite sport?
438,i care about my education.,i am a spiritual person.,My education has helped me understand so much.  Religious studies has opened my eyes to my own religion.,I'd love to study abroad if I could. Or get a job as a tourist.,I'm going to college to pursue my education.,You should also care about your education.
439,i care about my education.,i am a spiritual person.,I also care about my church.,I like to learn about the world more and learn stuff about my college.,I am glad to see that my education is going well.,I have a masters in my field.
440,i care about my education.,i am a spiritual person.,"I heard you were accepted into a really great private school, isn't it that Catholic school in the city? Are you religious?",I am very passionate about college.,I studied a lot of physical hobbies when I was younger.,I love learning about interesting subjects in my education.
441,"i refuse to go in the ocean , i am afraid that i will drown.",my job is now at the library.,"I love my new library job because the building is located next door to the ocean, so I get to listen to the waves.",I don't like swimming and I think it is unnatural in the water.,I have a fear of boats because of my green hair.,I refuse to see the sun either especially on days with no sunlight.
442,"i refuse to go in the ocean , i am afraid that i will drown.",my job is now at the library.,I like to stay on land at my job rather than swim in the ocean and drown.,I avoid the ocean because I fear that I will become a musician as well.,I don't think I would get to swim in the ocean.,That sounds like a terrible way to go.
443,"i refuse to go in the ocean , i am afraid that i will drown.",my job is now at the library.,i much prefer curling up with a good book,I have three kids so I can't swim either.,"I don't like to take my kids to the beach either, but I take them on walks on the beach.",I don't want to be held up by any one person and the ocean is too dangerous for me to risk such risks.
444,i have a lot of friends.,my dad works at the mill and my mom is a teacher.,I'm friends with a lot of my parents co-workers kids.,My friends always have fun riding their machines on the treadmill.,I can't walk on my own because I'm too lazy.,"I exercise on machines that are made of metal and are much more dangerous than wheel powered machines,"
445,mother in phone stuff.,i am with family and practicing the guitar.,"I am not familiar with phone stuff but I know various musical instruments, such as guitars.",In my phone stuff I travel to places.,"I have a lot of family in Russia.  They can't afford it, I would travel to them to make things.",That's why I want to travel.
446,mother in phone stuff.,i am with family and practicing the guitar.,Your mom has your phone? What are you doing right now?,There are a few firms associated with those firms that I can recall that offer a good amount of services.,We keep it real.,I am the best phone person in the world.
447,mother in phone stuff.,i am with family and practicing the guitar.,My family doesn't let me use my phone when I'm practicing my guitar.,I am more involved with my kids since I've had to share it with my husband.,I have two children but I'm single and don't need anymore and I don't want kids because I'm single.,"My mom thinks about my kids.  She thinks I'm too much of a mother, and that they can't handle raising their kids."
448,i like burritos.,i like pizza.,I prefer italian food.,I like to make burritos at home.,Me too.  I like their style.,I like to eat Mexican restaurants.
449,i like burritos.,i like pizza.,"I only like one Italian dish, though.",Me too.  I usually bring my pet reptile home with me to eat while I'm at work.,My kids love to have the pet reptile.,I like to get my reptiles together and cook.
450,i like burritos.,i like pizza.,Sometimes I get tired of Mexican food.  So I order Italian,I have a lot of friends that like burritos.,I like having a taco at home to eat while watching baseball.,My family is from Minnesota.
451,i love cooking.,i have a missing pinky toe.,"One time while cooking, I accidentally dropped a very sharp knife on my foot.",My mom taught me how to cook.,I'm the best cook in my family and have become very good at it.,My mom taught me how to cook a lot growing up because she taught me how to cook.
453,i love cooking.,i have a missing pinky toe.,I also have had accidents while cooking.,I love cooking and it motivates me to become a professional athlete.,When I am not cooking I am exercising.,I've been told I have a great body.  Do you like to cook?
454,i never hope to stop working no matter how old i become.,i work regular hours just like the guy next to me.,I'm never going to retire either.  I want to work regular hours all my life.,I plan on taking a break from work at some point in my life.,My job is good so I hope I can contribute to the world's betterment.,I wish I had the free time to do all of the things I enjoy doing.
455,i never hope to stop working no matter how old i become.,i work regular hours just like the guy next to me.,I love my job.,I work hard to reach my full potential.,Luckily I have a new job.,At this point I probably want to retire because I don't want to go to work alone all the time but it's too hard to give them my salary.
456,i never hope to stop working no matter how old i become.,i work regular hours just like the guy next to me.,You must work a lot of hours if you like it so much.,I only stay at home when it is raining.,I want to get into the private sector and get rich.  My career goal is to become a car mechanic.,I want to always drive to work every day.
457,i love jalapenos.,i rarely change my appearance.,I love jalapenos and rately change my appearance when I go out to eat some.,I love jalapenos among my friends!,my favorite food is jalapenos,I wish I was rich so I could buy an exotic exotic animal species that I would love to eat at the zoo.
458,i love jalapenos.,i rarely change my appearance.,They are so hot that they make my skin turn red.,I like eating jalapenos too.,I eat jalapenos when I am sick or tired.,That sounds unhealthy. I think I should only eat healthy when I'm having fun with friends.
459,i love jalapenos.,i rarely change my appearance.,I eat so much I need to go on a diet.,I eat them after studying people's lives.,I like eating jalapenos in the evening.,"When I had trouble falling asleep my first time on study abroad, I had a huge craving for jalapenos."
460,human automation is my passion.,my employment is manufacturing goods.,I use human automation in my business.,People living in Florida are very enthusiastic about this technology.,We're trying to get some robots where humans work instead of working for robots.,I vacation in Florida every winter
461,human automation is my passion.,my employment is manufacturing goods.,I like working with machines.,I enjoy playing classical music.,I am currently learning piano.,My passion is human automation. my computer is robotic as well.
462,human automation is my passion.,my employment is manufacturing goods.,Wow that sounds like an exciting field.,That's how I got started with my robotics career.,I've made a lot of technological breakthroughs in my life.,I would like to work in a human automation field too!
463,my father passed away when i was a teen.,i am in advertising.,"I had to get a job as a teenager because my parents both died young, and the advertising world gave me the stability I needed.",I was the one who told my mom when I was growing up about how much my dad loved to play ice hockey and that it was bad for me.,I was very young when he passed.  I think that made it that I was hooked on games.,My father died very young and I was raised by a single mother.
464,my father passed away when i was a teen.,i am in advertising.,It has been tough but I still succeeded.,I am so sorry to hear about your son.,I have the Facebook company that is involved in creating and building a modernized way of following people.,My mother passed away on my birthday.
465,my father passed away when i was a teen.,i am in advertising.,Sad to hear that happened then. How did you cope with it?,My parents are worried about me.  We are poor.,My dad passed away a few years ago when I was a teen. I've been working on a pet hoard since.,My parents always told me I was crazy but I do too.
466,my father passed away when i was a teen.,i download videos online.,I watched my dad's funeral online.,My mother died young when my father passed away.,I love to read at the park.,I have fond memories of seeing him when he used to watch movies.
468,my father passed away when i was a teen.,i download videos online.,I liked to play alot of video games when I was a teen and now I download them online.,I had two older siblings who died young.,At the time my father died in a car accident.,I am sorry for your loss
470,i enjoy hearing others stories.,i sport trendy lenses.,"I read the stories out loud, but I have poor eyesight.",I love hearing other stories about doing outdoor activities.,I like to read more about hiking and stay active.,That is why I love hiking.
471,i enjoy hearing others stories.,i sport trendy lenses.,I like cool glasses when people tell me stories.,I love stories about strange life situations.,I hope that makes me feel good.  It makes me feel like I can choose any story I want to believe.,I find stories very comforting.
473,my favorite place to go is the mall.,i hate cleaning.,I'd love to go to the mall with you! I'm stuck home doing chores and I hate cleaning.,I live in a small apartment in the midwest.,"I like shopping in the mall too. I want to buy a big apartment in a trendy mall, where I can afford it.",That's great. I would like to get away from the house.
474,my favorite place to go is the mall.,i hate cleaning.,"Me too! When I go to the mall, my husband do house cleaning",I always go there when I'm shopping.  I like my job too much to stay far away from McDonald's.,My favorite place to eat is at Mickey's.,"I love shopping at the mall, but I never go there as a job because I think it is too expensive."
476,i would lose my head it if were not attached to my shoulders.,i own a cute puppy.,My puppy is constantly getting away from my when I take him out on walks. I lose track of a lot of things.,I do not like to play the piano.,"I need to get off my shoulders to play piano, though.  I think I should just have a lower body that I can play with.",I don't play piano.
477,i would lose my head it if were not attached to my shoulders.,i own a cute puppy.,I hope that despite that I can take care of my puppy.,I like to pick up things with my shoulders.,"I like my body and the way it feels at the bottom of my shoulders, which is why I like comic books and anime.",The anime that I really enjoy is manga.
